2016.02.04	1,156,000
2016.02.05	1,164,000
2016.02.11	1,130,000
2016.02.12	1,130,000
2016.02.15	1,154,000
2016.02.16	1,168,000
2016.02.17	1,185,000
2016.02.18	1,187,000
2016.02.19	1,190,000
2016.02.22	1,175,000
2016.02.23	1,181,000
2016.02.24	1,172,000
2016.02.25	1,179,000
2016.02.26	1,172,000
2016.02.29	1,178,000
2016.03.02	1,197,000
2016.03.03	1,220,000
2016.03.04	1,215,000
2016.03.07	1,223,000
2016.03.08	1,192,000
2016.03.09	1,194,000
2016.03.10	1,225,000
2016.03.11	1,249,000
2016.03.14	1,255,000
2016.03.15	1,253,000
2016.03.16	1,256,000
2016.03.17	1,263,000
2016.03.18	1,273,000
2016.03.21	1,267,000
2016.03.22	1,269,000
2016.03.23	1,279,000
